product	protein	fat	carbs	calories	price	sale_type	unit_weight	total_package_weight	is_promo
ბოსტნეული	0	0	0	0	0	package_weight	0	0	0
სტაფილო	0.9	0.2	9.6	41	1.65	weight	0	1000	0
კომბოსტო	1.3	0.1	5.8	25	0.75	weight	0	1000	0
ხახვი	1.1	0.1	9.3	40	1	weight	0	1000	0
პომიდორი იმპ	0.9	0.2	3.9	18	5.45	weight	0	1000	0
ჭარხალი	1.6	0.2	9.6	43	1.25	weight	0	1000	0
ნიორი ქართული	6.4	0.5	33.1	149	6.75	weight	0	1000	0
ბადრიჯანი	1	0.2	5.9	25	5.85	weight	0	1000	0
პომიდორი ვარისფერი იმპ.	0	0.2	0	0	6.35	weight	0	1000	0
კიტრი იმპ.	0	0.1	3.6	15	4.65	weight	0	1000	0
კომბოსტო ყვავილოვანი იმპ.	1.9	0.3	4.9	25	3.95	weight	0	1000	0
ბულგარული წიწაკა იმპ.	0.9	0.2	4.6	20	5.95	weight	0	1000	0
კარტოფილი "ჰერბია"	2	0.1	17.5	77	7.9	weight	0	2000	0
კარტოფილი	2	0.1	17.5	77	1.55	weight	0	1000	0
ქამა სოკო	3.1	0.3	3.3	22	5.95	weight	0	500	0
ყაბაყი იმპ.	1.2	0.3	3.1	17	2.99	weight	0	1000	0
ბურგალური წიწაკა წითელი იმპ.	1	0.3	6	31	7.45	weight	0	1000	0
ხილი	0	0	0	0	0	package_weight	0	0	0
ბანანი	1.1	0.3	22.8	89	3.85	weight	0	1000	0
ვაშლი გოლდენი	0.3	0.2	13.8	57	2.85	weight	0	1000	0
ვაშლი წითელი	0.3	0.2	13.8	52	2.65	weight	0	1000	0
კივი იმპ.	1.1	0.5	14.7	51	6.65	weight	0	1000	0
ბროწეული	1.7	1.2	18.7	83	5.45	weight	0	1000	0
ვაშლი მწვანე	0	0	14	52	3.95	weight	0	1000	0
კომში	0.4	0.1	15.3	57	5.75	weight	0	1000	0
გოგრა	1	0.1	6.5	26	1.35	weight	0	1000	0
პომელო	0.8	0.04	9.6	38	4.49	weight	0	1000	0
მსხალი	0.4	0.1	15.2	57	5.45	weight	0	1000	0
ანანასი იმპ.	0.5	0.1	13.1	50	12.99	package_pieces	0	1	0
მწვანილები	0	0	0	0	0	package_weight	0	0	0
კამა "ჰერბია"	1.3	0.1	5.8	25	0.95	weight	0	50	0
ოხრახუში "ჰერბია"	3	0.8	6.3	36	0.95	weight	0	50	0
ნიახური	0	0	0	16	0.95	weight	0	50	0
მწვანე სალათი	0.9	0.1	3	14	4.8	weight	0	150	0
ქინძი "ჰერბია"	2.1	0.5	3.7	23	0.95	weight	0	50	0
სალათის ფურცელი "ჰერბია"	1.2	0.3	3.3	17	2.9	weight	0	150	0
მწვანე ხახვი "ჰერბია"	1.8	0.2	7.3	32	1.5	weight	0	50	0
რუკოლა "ჰერბია"	2.6	0.7	3.7	25	1.8	weight	0	50	0
ციტრუსი	0	0	0	0	0	package_weight	0	0	0
ფორთოხალი	0.9	0.1	11.8	47	3.45	weight	0	1000	0
გრეიფუტი იმპ.	0.8	0.1	10.7	42	3.85	weight	0	1000	0
ლიმონი იმპ.	1.1	0.3	9.3	29	2.75	weight	0	1000	0
მანდარინი	0.8	0.3	13.3	53	4.5	weight	0	1000	0
ძმარი	0	0	0	0	0	package_weight	0	0	0
ძმარი ღვინის "ოდა" სუფრის	0	0	0	0	2.4	package_weight	0	500	0
ძმარი ვაშლის "გემო"	0	0	0	0	3.5	package_weight	0	500	0
ძმარი ღვინის "ოდა" ნატურალური	0	0	0	0	2.65	package_weight	0	500	0
სოუსი ლიმონის "გემო"	0	0	0	0	3.5	package_weight	0	500	0
შაქარი	0	0	0	0	0	package_weight	0	0	0
შაქარი "ზოგე"	0	0	0	0	1.95	weight	0	1000	0
შაქარი "ზოგე"	0	0	0	0	3.99	weight	0	2000	0
შაქრის პუდრა "იამუნა"	0	0	0	0	1.6	weight	0	100	0
შაქარი ყავისფერი "ლერწმის"	0	0	0	0	5.49	weight	0	800	0
შაქარი ნატეხი "აზერ შაქარი"	0	0	0	0	1.8	weight	0	150	0
მარილი	0	0	0	0	0	package_weight	0	0	0
მარილი "ზოგე" სუფრის	0	0	0	0	0.95	weight	0	1000	0
მარილი "ზოგე" იოდიზირებული	0	0	0	0	0.85	weight	0	750	0
მარილი "ჯეო" სვანური	0	0	0	0	1.5	weight	0	50	0
მარილი "ზოგე" იოდიზირებული (პლ)	0	0	0	0	2.5	weight	0	500	0
მარილი "ჰიმალაი" მუყაო	0	0	0	0	5.75	weight	0	400	0
მაკარონი	0	0	0	0	0	package_weight	0	0	0
მაკარონი "რეგია" სპაგეტი	0	0	0	0	4.1	weight	0	500	0
მაკარონი "რეგია" ფუსილი	0	0	0	0	4.1	weight	0	500	0
"დონა კიარა" ნიჟარა	0	0	0	0	3.5	weight	0	500	0
"დონა კიარა" ფუსილი	0	0	0	0	3.5	weight	0	500	0
"დონა კიარა" პენე რიგატე	0	0	0	0	3.5	weight	0	500	0
"პასტა დი რიზი" ფარფალე	0	0	0	0	0.99	weight	0	400	0
"დონა კიარა" ფეტუჩი	0	0	0	0	4.95	weight	0	500	0
"პასტა დი რიზი" პენე რიგატე	0	0	0	0	0.99	weight	0	400	0
"რეგია" ვერმიშელი	0	0	0	0	4.1	weight	0	500	0
"პასტა დი რიზი" ვერმიშელი	0	0	0	0	0.99	weight	0	400	0
"დონა კიარა" სპაგეტი	0	0	0	0	3.5	weight	0	500	0
"პასტა დი როზი" სპაგეტი	0	0	0	0	0.99	weight	0	400	0
"დონა კიარა: ლაზანიას ფირფიტები	0	0	0	0	6.5	weight	0	500	0
მარცვლეული და ბურღულეული	0	0	0	0	0	package_weight	0	0	0
მანანის ბურღულეული "სონიშკო"	0	0	0	0	2.9	weight	0	500	0
მანანის ბურღულეული "ალტაისკაია სკაზა"	0	0	0	0	2.6	weight	0	700	0
ბრინჯი ბასმათი "ლალქილა"	0	0	0	0	8.95	weight	0	1000	0
ბრინჯი გრძელი "ზოგე"	0	0	0	0	2.5	weight	0	1000	0
ბრიჯი დაორთქლილი "ზოგე"	0	0	0	0	2.55	weight	0	1000	0
ბრიჯი მრგვალი "ზოგე"	0	0	0	0	1.95	weight	0	500	0
წიწიბურა "ზოგე"	0	0	0	0	2.05	weight	0	1000	0
წიწიბურა "ალტაისკაია სკაზა"	0	0	0	0	3.95	weight	0	800	0
ლობიო "ზოგე"	0	0	0	0	4.9	weight	0	1000	0
ლობიო გურულა "ზოგე"	0	0	0	0	6.85	weight	0	800	0
კუსკუსი "ნატურალსი"	0	0	0	0	5.5	weight	0	350	0
ოსპი "ზოგე"	0	0	0	0	4.5	weight	0	800	0
ბარდა "ალტაისკაია სკაზა"	0	0	0	0	2.55	weight	0	800	0
ჩია "ჯეო"	0	0	0	0	3.2	weight	0	80	0
სელი "ჯეო"	0	0	0	0	2.2	weight	0	80	0
ფანტელი და მიუსელი	0	0	0	0	0	package_weight	0	0	0
ფანტელი სიმინდის "ვიტბა"	1.5	0.2	78	360	3.95	weight	0	350	0
ფანტელი შვრიის "სოლნიშკო"	7	1.2	60	380	3.35	weight	0	500	0
ფანტელი შვრიის "სოლნიშკო" ქლიავით	6	0.9	60	360	1.25	weight	0	45	0
ფანტელი შვრიის "სოლნიშკო" ალუბლის	5	0.9	67	360	1.25	weight	0	45	0
ფანტელი შვრიის "სოლნიშკო"	7	1.2	60	380	3.6	weight	0	350	0
ფანტელი შვრიის "კრუპნო"	6	0	59	360	2.85	weight	0	500	0
ფანტელი შვრიის "სოლნიშკო" 5 მარცვალი	3	0.57	63	340	3.95	weight	0	400	0
ფანტელი შვრიის "სოლნიშკო" გარგარი	5.5	0.9	58	350	4.95	weight	0	300	0
ფანტელი შვრიის "სოლნიშკო" ქლიავით	6	0.9	60	360	4.95	weight	0	300	0
მზა საუზმე "აქსა" ხრაშუნა ბატონი შოკოლადით მარწყვი იოგურტი	10.8	7.4	67.6	365.3	1.5	weight	0	25	0
მზა საუზმე "აქსა" ხრაშუნა ბატონი შოკოლადით და თხილით	18.4	8.7	58.7	436	0.99	weight	0	25	0
მიუსლი "სტარტი" გარგარის ჩირი და ქიშმიში	9.64	5.4	63.54	384	8.65	weight	0	375	0
მიუსლი "აქსა" თაფლი და კენკრა	13.5	8.2	63.1	395.9	7.95	weight	0	330	0
მიუსლი "კრუპნო" კენკრით	5	0.8	62	340	2.95	weight	0	300	0
ფანტელი წიწიბურის "კრუპნო"	2	0.7	69	340	3.5	weight	0	400	0
ფანტელი შვრიის "სოლნიშკო" კლასიკური	7	1.2	60	380	2.65	weight	0	325	0
მიუსლი "აქსა" თაფლი და კენკრა	13.5	8.2	63.1	395.9	3.75	weight	0	150	0
მიუსლი "კრუპნო" ხილით	2.5	0.8	66	320	4.1	weight	0	300	0
საცხობი საშუალებები	0	0	0	0	0	package_weight	0	0	0
