product,protein,fat,carbs,calories,price,sale_type,unit_weight,total_package_weight,is_promo
ბოსტნეული,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
სტაფილო,0.9,0.2,9.6,41.0,1.65,weight,0,1000.0,0
კომბოსტო,1.3,0.1,5.8,25.0,0.75,weight,0,1000.0,0
ხახვი,1.1,0.1,9.3,40.0,1.0,weight,0,1000.0,0
პომიდორი იმპ,0.9,0.2,3.9,18.0,5.45,weight,0,1000.0,0
ჭარხალი,1.6,0.2,9.6,43.0,1.25,weight,0,1000.0,0
ნიორი ქართული,6.4,0.5,33.1,149.0,6.75,weight,0,1000.0,0
ბადრიჯანი,1.0,0.2,5.9,25.0,5.85,weight,0,1000.0,0
პომიდორი ვარისფერი იმპ.,0.0,0.2,0.0,0.0,6.35,weight,0,1000.0,0
კიტრი იმპ.,0.0,0.1,3.6,15.0,4.65,weight,0,1000.0,0
კომბოსტო ყვავილოვანი იმპ.,1.9,0.3,4.9,25.0,3.95,weight,0,1000.0,0
ბულგარული წიწაკა იმპ.,0.9,0.2,4.6,20.0,5.95,weight,0,1000.0,0
"კარტოფილი ""ჰერბია""",2.0,0.1,17.5,77.0,7.9,weight,0,2000.0,0
კარტოფილი,2.0,0.1,17.5,77.0,1.55,weight,0,1000.0,0
ქამა სოკო,3.1,0.3,3.3,22.0,5.95,weight,0,500.0,0
ყაბაყი იმპ.,1.2,0.3,3.1,17.0,2.99,weight,0,1000.0,0
ბურგალური წიწაკა წითელი იმპ.,1.0,0.3,6.0,31.0,7.45,weight,0,1000.0,0
ხილი,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
ბანანი,1.1,0.3,22.8,89.0,3.85,weight,0,1000.0,0
ვაშლი გოლდენი,0.3,0.2,13.8,57.0,2.85,weight,0,1000.0,0
ვაშლი წითელი,0.3,0.2,13.8,52.0,2.65,weight,0,1000.0,0
კივი იმპ.,1.1,0.5,14.7,51.0,6.65,weight,0,1000.0,0
ბროწეული,1.7,1.2,18.7,83.0,5.45,weight,0,1000.0,0
ვაშლი მწვანე,0.0,0.0,14.0,52.0,3.95,weight,0,1000.0,0
კომში,0.4,0.1,15.3,57.0,5.75,weight,0,1000.0,0
გოგრა,1.0,0.1,6.5,26.0,1.35,weight,0,1000.0,0
პომელო,0.8,0.04,9.6,38.0,4.49,weight,0,1000.0,0
მსხალი,0.4,0.1,15.2,57.0,5.45,weight,0,1000.0,0
ანანასი იმპ.,0.5,0.1,13.1,50.0,12.99,package_pieces,0,1.0,0
მწვანილები,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
"კამა ""ჰერბია""",1.3,0.1,5.8,25.0,0.95,weight,0,50.0,0
"ოხრახუში ""ჰერბია""",3.0,0.8,6.3,36.0,0.95,weight,0,50.0,0
ნიახური,0.0,0.0,0.0,16.0,0.95,weight,0,50.0,0
მწვანე სალათი,0.9,0.1,3.0,14.0,4.8,weight,0,150.0,0
"ქინძი ""ჰერბია""",2.1,0.5,3.7,23.0,0.95,weight,0,50.0,0
"სალათის ფურცელი ""ჰერბია""",1.2,0.3,3.3,17.0,2.9,weight,0,150.0,0
"მწვანე ხახვი ""ჰერბია""",1.8,0.2,7.3,32.0,1.5,weight,0,50.0,0
"რუკოლა ""ჰერბია""",2.6,0.7,3.7,25.0,1.8,weight,0,50.0,0
ციტრუსი,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
ფორთოხალი,0.9,0.1,11.8,47.0,3.45,weight,0,1000.0,0
გრეიფუტი იმპ.,0.8,0.1,10.7,42.0,3.85,weight,0,1000.0,0
ლიმონი იმპ.,1.1,0.3,9.3,29.0,2.75,weight,0,1000.0,0
მანდარინი,0.8,0.3,13.3,53.0,4.5,weight,0,1000.0,0
ძმარი,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
"ძმარი ღვინის ""ოდა"" სუფრის",0.0,0.0,0.0,0.0,2.4,package_weight,0,500.0,0
"ძმარი ვაშლის ""გემო""",0.0,0.0,0.0,0.0,3.5,package_weight,0,500.0,0
"ძმარი ღვინის ""ოდა"" ნატურალური",0.0,0.0,0.0,0.0,2.65,package_weight,0,500.0,0
"სოუსი ლიმონის ""გემო""",0.0,0.0,0.0,0.0,3.5,package_weight,0,500.0,0
შაქარი,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
"შაქარი ""ზოგე""",0.0,0.0,0.0,0.0,1.95,weight,0,1000.0,0
"შაქარი ""ზოგე""",0.0,0.0,0.0,0.0,3.99,weight,0,2000.0,0
"შაქრის პუდრა ""იამუნა""",0.0,0.0,0.0,0.0,1.6,weight,0,100.0,0
"შაქარი ყავისფერი ""ლერწმის""",0.0,0.0,0.0,0.0,5.49,weight,0,800.0,0
"შაქარი ნატეხი ""აზერ შაქარი""",0.0,0.0,0.0,0.0,1.8,weight,0,150.0,0
მარილი,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
"მარილი ""ზოგე"" სუფრის",0.0,0.0,0.0,0.0,0.95,weight,0,1000.0,0
"მარილი ""ზოგე"" იოდიზირებული",0.0,0.0,0.0,0.0,0.85,weight,0,750.0,0
"მარილი ""ჯეო"" სვანური",0.0,0.0,0.0,0.0,1.5,weight,0,50.0,0
"მარილი ""ზოგე"" იოდიზირებული (პლ)",0.0,0.0,0.0,0.0,2.5,weight,0,500.0,0
"მარილი ""ჰიმალაი"" მუყაო",0.0,0.0,0.0,0.0,5.75,weight,0,400.0,0
მაკარონი,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
"მაკარონი ""რეგია"" სპაგეტი",0.0,0.0,0.0,0.0,4.1,weight,0,500.0,0
"მაკარონი ""რეგია"" ფუსილი",0.0,0.0,0.0,0.0,4.1,weight,0,500.0,0
"""დონა კიარა"" ნიჟარა",0.0,0.0,0.0,0.0,3.5,weight,0,500.0,0
"""დონა კიარა"" ფუსილი",0.0,0.0,0.0,0.0,3.5,weight,0,500.0,0
"""დონა კიარა"" პენე რიგატე",0.0,0.0,0.0,0.0,3.5,weight,0,500.0,0
"""პასტა დი რიზი"" ფარფალე",0.0,0.0,0.0,0.0,0.99,weight,0,400.0,0
"""დონა კიარა"" ფეტუჩი",0.0,0.0,0.0,0.0,4.95,weight,0,500.0,0
"""პასტა დი რიზი"" პენე რიგატე",0.0,0.0,0.0,0.0,0.99,weight,0,400.0,0
"""რეგია"" ვერმიშელი",0.0,0.0,0.0,0.0,4.1,weight,0,500.0,0
"""პასტა დი რიზი"" ვერმიშელი",0.0,0.0,0.0,0.0,0.99,weight,0,400.0,0
"""დონა კიარა"" სპაგეტი",0.0,0.0,0.0,0.0,3.5,weight,0,500.0,0
"""პასტა დი როზი"" სპაგეტი",0.0,0.0,0.0,0.0,0.99,weight,0,400.0,0
"""დონა კიარა: ლაზანიას ფირფიტები",0.0,0.0,0.0,0.0,6.5,weight,0,500.0,0
მარცვლეული და ბურღულეული,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
"მანანის ბურღულეული ""სონიშკო""",0.0,0.0,0.0,0.0,2.9,weight,0,500.0,0
"მანანის ბურღულეული ""ალტაისკაია სკაზა""",0.0,0.0,0.0,0.0,2.6,weight,0,700.0,0
"ბრინჯი ბასმათი ""ლალქილა""",0.0,0.0,0.0,0.0,8.95,weight,0,1000.0,0
"ბრინჯი გრძელი ""ზოგე""",0.0,0.0,0.0,0.0,2.5,weight,0,1000.0,0
"ბრიჯი დაორთქლილი ""ზოგე""",0.0,0.0,0.0,0.0,2.55,weight,0,1000.0,0
"ბრიჯი მრგვალი ""ზოგე""",0.0,0.0,0.0,0.0,1.95,weight,0,500.0,0
"წიწიბურა ""ზოგე""",0.0,0.0,0.0,0.0,2.05,weight,0,1000.0,0
"წიწიბურა ""ალტაისკაია სკაზა""",0.0,0.0,0.0,0.0,3.95,weight,0,800.0,0
"ლობიო ""ზოგე""",0.0,0.0,0.0,0.0,4.9,weight,0,1000.0,0
