product,protein,fat,carbs,calories,price,weight_per_100g,full_package_weight,is_promo,category
სტაფილო,0.9,0.2,9.6,41.0,1.65,100,,0,ბოსტნეული
კომბოსტო,1.3,0.1,5.8,25.0,0.75,100,,0,ბოსტნეული
ხახვი,1.1,0.1,9.3,40.0,1.0,100,,0,ბოსტნეული
პომიდორი იმპ,0.9,0.2,3.9,18.0,5.45,100,,0,ბოსტნეული
ჭარხალი,1.6,0.2,9.6,43.0,1.25,100,,0,ბოსტნეული
ნიორი ქართული,6.4,0.5,33.1,149.0,6.75,100,,0,ბოსტნეული
ბადრიჯანი,1.0,0.2,5.9,25.0,5.85,100,,0,ბოსტნეული
პომიდორი ვარისფერი იმპ.,1.5,0.2,7,35,6.35,100,,0,ბოსტნეული
კიტრი იმპ.,1.5,0.1,3.6,15.0,4.65,100,,0,ბოსტნეული
კომბოსტო ყვავილოვანი იმპ.,1.9,0.3,4.9,25.0,3.95,100,,0,ბოსტნეული
ბულგარული წიწაკა იმპ.,0.9,0.2,4.6,20.0,5.95,100,,0,ბოსტნეული
"კარტოფილი ""ჰერბია""",2.0,0.1,17.5,77.0,7.9,100,,0,ბოსტნეული
კარტოფილი,2.0,0.1,17.5,77.0,1.55,100,,0,ბოსტნეული
ქამა სოკო,3.1,0.3,3.3,22.0,5.95,100,,0,ბოსტნეული
ყაბაყი იმპ.,1.2,0.3,3.1,17.0,2.99,100,,0,ბოსტნეული
ბურგალური წიწაკა წითელი იმპ.,1.0,0.3,6.0,31.0,7.45,100,,0,ბოსტნეული
ბანანი,1.1,0.3,22.8,89.0,3.85,100,,0,ხილი
ვაშლი გოლდენი,0.3,0.2,13.8,57.0,2.85,100,,0,ხილი
ვაშლი წითელი,0.3,0.2,13.8,52.0,2.65,100,,0,ხილი
კივი იმპ.,1.1,0.5,14.7,51.0,6.65,100,,0,ხილი
ბროწეული,1.7,1.2,18.7,83.0,5.45,100,,0,ხილი
ვაშლი მწვანე,0.8,0.2,14.0,52.0,3.95,100,,0,ხილი
კომში,0.4,0.1,15.3,57.0,5.75,100,,0,ხილი
გოგრა,1.0,0.1,6.5,26.0,1.35,100,,0,ხილი
პომელო,0.8,0.04,9.6,38.0,4.49,100,,0,ხილი
მსხალი,0.4,0.1,15.2,57.0,5.45,100,,0,ხილი
ანანასი იმპ.,0.5,0.1,13.1,50.0,12.99,100,,0,ხილი
"კამა ""ჰერბია""",1.3,0.1,5.8,25.0,0.95,100,,0,მწვანილები
"ოხრახუში ""ჰერბია""",3.0,0.8,6.3,36.0,0.95,100,,0,მწვანილები
ნიახური,2.5,0.5,3.5,16.0,0.95,100,,0,მწვანილები
მწვანე სალათი,0.9,0.1,3.0,14.0,4.8,100,,0,მწვანილები
"ქინძი ""ჰერბია""",2.1,0.5,3.7,23.0,0.95,100,,0,მწვანილები
"სალათის ფურცელი ""ჰერბია""",1.2,0.3,3.3,17.0,2.9,100,,0,მწვანილები
"მწვანე ხახვი ""ჰერბია""",1.8,0.2,7.3,32.0,1.5,100,,0,მწვანილები
"რუკოლა ""ჰერბია""",2.6,0.7,3.7,25.0,1.8,100,,0,მწვანილები
ფორთოხალი,0.9,0.1,11.8,47.0,3.45,100,,0,ციტრუსი
გრეიფუტი იმპ.,0.8,0.1,10.7,42.0,3.85,100,,0,ციტრუსი
ლიმონი იმპ.,1.1,0.3,9.3,29.0,2.75,100,,0,ციტრუსი
მანდარინი,0.8,0.3,13.3,53.0,4.5,100,,0,ციტრუსი
"ძმარი ღვინის ""ოდა"" სუფრის",0,0,5,20,2.4,,500.0,0,ძმარი
"ძმარი ვაშლის ""გემო""",0,0,5,20,3.5,,500.0,0,ძმარი
"ძმარი ღვინის ""ოდა"" ნატურალური",0,0,5,20,2.65,,500.0,0,ძმარი
"სოუსი ლიმონის ""გემო""",0,0,5,20,3.5,,500.0,0,ძმარი
"შაქარი ""ზოგე""",0,0,100,387,1.95,,1000,0,შაქარი
"შაქარი ""ზოგე""",0,0,100,387,3.99,,2000.0,0,შაქარი
"შაქრის პუდრა ""იამუნა""",0,0,100,387,1.6,,100.0,0,შაქარი
"შაქარი ყავისფერი ""ლერწმის""",0,0,100,387,5.49,,800.0,0,შაქარი
"შაქარი ნატეხი ""აზერ შაქარი""",0,0,100,387,1.8,,150.0,0,შაქარი
"მარილი ""ზოგე"" სუფრის",0,0,0,0,0.95,,1000,0,მარილი
"მარილი ""ზოგე"" იოდიზირებული",0,0,0,0,0.85,,750.0,0,მარილი
"მარილი ""ჯეო"" სვანური",0,0,0,0,1.5,,50.0,0,მარილი
"მარილი ""ზოგე"" იოდიზირებული (პლ)",0,0,0,0,2.5,,500.0,0,მარილი
"მარილი ""ჰიმალაი"" მუყაო",0,0,0,0,5.75,,400.0,0,მარილი
"მაკარონი ""რეგია"" სპაგეტი",12,1.5,71,350,4.1,,500.0,0,მაკარონი
"მაკარონი ""რეგია"" ფუსილი",12,1.5,71,350,4.1,,500.0,0,მაკარონი
"""დონა კიარა"" ნიჟარა",12,1.5,71,350,3.5,,500.0,0,მაკარონი
"""დონა კიარა"" ფუსილი",12,1.5,71,350,3.5,,500.0,0,მაკარონი
"""დონა კიარა"" პენე რიგატე",12,1.5,71,350,3.5,,500.0,0,მაკარონი
"""პასტა დი რიზი"" ფარფალე",12,1.5,71,350,0.99,,400.0,0,მაკარონი
"""დონა კიარა"" ფეტუჩი",12,1.5,71,350,4.95,,500.0,0,მაკარონი
"""პასტა დი რიზი"" პენე რიგატე",12,1.5,71,350,0.99,,400.0,0,მაკარონი
